ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
7.810959,324,-0.381923,0.227494,-0.081028,-0.192797,-0.015615,-0.199061
7.833511,325,-0.789935,0.189994,-0.343659,-0.254573,-0.034267,-0.156984
7.855551,326,-0.624666,-0.442730,0.010241,-0.292062,-0.070485,-0.124727
7.877834,327,-0.332748,0.002661,0.348939,-0.318102,-0.085399,-0.098819
7.899706,328,-0.013044,0.071957,0.118323,-0.346350,-0.072371,-0.080067
7.922087,329,-0.214251,0.064411,0.102486,-0.352258,-0.044396,-0.058085
7.944748,330,-0.180051,0.155946,0.561121,-0.366963,-0.009075,-0.046212
7.966543,331,0.005642,-0.663617,-0.091977,-0.370514,0.035366,-0.035293
7.988894,332,-0.282167,-0.864518,-0.329505,-0.289087,0.071586,-0.015748
8.011150,333,-0.408282,0.272346,0.470886,-0.214392,0.104910,0.003716
8.089296,334,-0.065785,0.028796,0.192478,-0.225391,0.140752,0.035054
8.111529,335,-0.977649,-2.610932,0.035737,-0.072632,0.158418,0.118782
8.133553,336,-0.005111,-0.403692,0.189133,-0.043105,0.171613,0.114742
8.156579,337,-0.346980,-0.186706,0.098745,-0.018204,0.167075,0.148129
8.178105,338,-0.299333,-0.184976,0.181111,-0.012756,0.132820,0.197845
8.200320,339,-0.116461,-0.264241,0.259364,0.006598,0.087558,0.251045
8.222741,340,-0.035094,-0.650725,-0.017332,0.045399,0.042541,0.296268
